y2_id,clean_id,canonical_wine_id,match_score,prod_banco,vivino_produtor,vinho_banco,vivino_nome
403021,312942,31196,1.3,domaine jeanmarc bouley,domaine jeanmarc bouley,pommard,pommard
403033,310008,577221,1.3,albert bichot,albert bichot,charmeschambertin grand cru,charmeschambertin grand cru
402907,312032,22366,1.3,domaine armand rousseau,domaine armand rousseau,ruchotteschambertin grand cru clos des ruchottes,ruchotteschambertin grand cru clos des ruchottes
402382,310405,791704,1.3,aurelien verdet,aurelien verdet,marsannay champs perdrix,marsannay champs perdrix
403063,312923,261054,1.3,domaine de montille,domaine de montille,corton grand cru le clos du roi,corton grand cru clos du roi
402537,312099,25739,1.3,domaine duroche,domaine duroche,gevreychambertin,gevreychambertin
402590,312192,161543,1.3,domaine de la vougeraie,domaine de la vougeraie,charmeschambertin grand cru les mazoyeres,charmeschambertin grand cru les mazoyeres
402888,312423,1632539,1.3,jacquart,jacquart,champagne rose signature,signature rose champagne
403341,312696,38563,1.3,domaine tollotbeaut,domaine tollotbeaut,cortonbressandes grand cru,cortonbressandes grand cru
402805,310330,91023,1.3,domaine tortochot,domaine tortochot,gevreychambertin les jeunes rois,gevreychambertin les jeunes rois
401750,311087,29081,1.3,mongeardmugneret,mongeardmugneret,gevreychambertin,gevreychambertin
401827,311403,118500,1.3,la pousse dor,la pousse dor,chambollemusigny,chambollemusigny
402274,310440,241451,1.3,domaine heresztynmazzini,domaine heresztynmazzini,moreysaintdenis premier cru les millandes,moreysaintdenis premier cru les millandes
402993,312820,33515,1.3,domaine chignard,domaine chignard,fleurie les moriers,fleurie les moriers
401854,310562,30215,1.3,chateau la fleurpetrus,chateau la fleurpetrus,pomerol,pomerol
342159,246056,679284,1.3,mezzacorona,mezzacorona,rose dolomiti,rose dolomiti
403003,312831,30473,1.3,chateau la dominique,chateau la dominique,saintemilion grand cru classe,saintemilion grand cru grand cru classe
401929,310788,84528,1.3,domaine des comtes lafon,domaine des comtes lafon,volnay,volnay
401979,311586,94755,1.3,domaine de montille,domaine de montille,pommard les cras,pommard les cras
401975,311582,1079107,1.3,arnaud mortet,arnaud mortet,gevreychambertin premier cru la perriere,gevreychambertin premier cru la perriere
402273,310439,502894,1.3,jane eyre,jane eyre,gevreychambertin,gevreychambertin
403012,312932,596413,1.3,domaine berthautgerbet,domaine berthautgerbet,vosneromanee,vosneromanee
402127,311762,816237,1.3,chateau pichon baron,chateau pichon baron,pauillac,le pauillac
418417,329645,1366536,1.3,frederic leprince,frederic leprince,pommard,pommard
402191,309972,20751,1.3,domaine ponsot,domaine ponsot,chapellechambertin grand cru,chapellechambertin grand cru
402262,311874,64637,1.3,domaine genotboulanger,domaine genotboulanger,clos de vougeot grand cru,clos de vougeot grand cru
402389,310414,1177858,1.3,buissoncharles,buissoncharles,pommard en mareau,pommard en mareau
402580,312223,75164,1.3,chateau plaisance,chateau plaisance,bordeaux superieur,bordeaux superieur
402332,311310,182093,1.3,domaine sylvain cathiard,domaine sylvain cathiard,nuitssaintgeorges,nuitssaintgeorges
402377,310399,113719,1.3,buissoncharles,buissoncharles,volnay premier cru santenots,volnay premier cru santenots
402543,312108,8924,1.3,bertrand ambroise,bertrand ambroise,corton grand cru le rognet et corton,corton le rognet grand cru
402510,312167,25939,1.3,chateau clinet,chateau clinet,pomerol,pomerol
402523,312181,26868,1.3,chateau quinault lenclos,chateau quinault lenclos,grand cru classe saintemilion grand cru,saintemilion grand cru grand cru classe
402528,312090,741348,1.3,domaine santa duc,domaine santa duc,gigondas clos derriere vieille,clos derriere vieille gigondas
401639,311052,228110,1.3,chateau bouscasse,chateau bouscasse,vieilles vignes madiran,vieilles vignes madiran
