pair_id,source_wine_id,canonical_wine_id,verdict,source_vivino_ids,canonical_vivino_ids,shared_vivino_ids,source_top_producer,canonical_top_producer,reason
2091,2057717,1065228,CONFIRMA,7275316|11996866|2478184|8212157|1885172|5912199|7294963|1205361|1355100|9220341,7275316|12577201|8189597|11908218|2478184|10115453|7408231|10802631|7883874|5458786,7275316|2478184,Vincent Prunier,Vincent Prunier,Mesmo wine id Vivino 7275316 nas duas buscas
2092,2057757,1640860,CONFIRMA,12851421,12851421|9695604|7957792|7658187|12401430|13736920|11604472|11604481|10850165|5730023,12851421,Domaine Vincey,Domaine Vincey,Mesmo wine id Vivino 12851421 nas duas buscas
2093,2057761,1480603,CONFIRMA,10850165|11024411|9695604|11606857|7957792,10850165|9695604|7658187|7957792|12401430|5624113|5730023|5624200|12851421|13736920,10850165|9695604|7957792,Domaine Vincey,Domaine Vincey,Mesmo wine id Vivino 10850165 nas duas buscas
2094,2057874,773324,CONFIRMA,5370087|10361575|9316873|10361574|12518034|11492663|4718588|4243144|11492677|12398113,5370087,5370087,Eco Terreno,Eco Terreno,Mesmo wine id Vivino 5370087 nas duas buscas
2095,2058167,138313,CONFIRMA,1403594|7051832,1403594|4359734|1975506|8321|1680185|2548758|11139763|10922372|12370628|6467152,1403594,Edge Hill,Edge Hill,Mesmo wine id Vivino 1403594 nas duas buscas
2096,2058188,944116,INCONCLUSIVO,81860|10640664|7301120|8907967|12314873|2148396|1370760|81855|81858|10579138,6599320,,Egly-Ouriet,Ouriet Pature,"Mesmo produtor, mas buscas trazem ids Vivino diferentes"
2097,2058381,21561,CONFIRMA,86691|1373709|1467543|3217493|6228502|6228758,86691|1373709|1467543|3217493|6228502|6228758,86691|1373709|1467543|3217493|6228502|6228758,Egon Müller - Scharzhof,Egon Müller - Scharzhof,Mesmo wine id Vivino 86691 nas duas buscas
2098,2058976,117589,CONFIRMA,1296251|6261756|5467383|10979497|1893526|3941878|7303160|4844738|1294329|2088243,1296251|6261756|5467383|2088243|4319326|2101861|8185869|3841924,1296251|6261756|5467383|2088243,Domaine Rosier,Domaine Rosier,Mesmo wine id Vivino 1296251 nas duas buscas
2099,2059039,37840,CONFIRMA,1127672|79913|1210330|1127669|1127687|5102909|6579358|11775438|8514217|2563416,1127672|1127671|1127688|1127689|1521289|4801500|1127670|9243579|1787969|6579358,1127672|6579358,Domaine Nicolas Rossignol,Domaine Nicolas Rossignol,Mesmo wine id Vivino 1127672 nas duas buscas
2100,2059105,1269977,CONFIRMA,1189367|6643311|9699802|3106026|79910|79909|1929113|3123947|1719736|4481595,8806474|12220017|1189367|1247438|1647024,1189367,Domaine Rossignol-Trapet,François Trapet,Mesmo wine id Vivino 1189367 nas duas buscas
2101,2059145,218008,CONFIRMA,1679736,1679736,1679736,Domaine Rostaing,Domaine Rostaing,Mesmo wine id Vivino 1679736 nas duas buscas
2102,2059395,984275,CONFIRMA,6823306|1946188|1697954|1103856,6823306|1103856,6823306|1103856,Domaine Rougeot,Domaine Rougeot,Mesmo wine id Vivino 6823306 nas duas buscas
2103,2059451,248628,CONFIRMA,1779126|7805126|9795181,1779126|7805126|1199033|9484124|10662248|12086141|91130|1531945|2005941|1589136,1779126|7805126,Domaine Rougeot,Domaine Rougeot,Mesmo wine id Vivino 1779126 nas duas buscas
2104,2059518,1507439,CONFIRMA,11120651,11120651|1637220|1163144|1745357|3868036|2342567|18113|1170602|1253637|1159083,11120651,El Camarón,El Camarón,Mesmo wine id Vivino 11120651 nas duas buscas
2105,2059528,436350,CONFIRMA,2431884|12859373,2431884|1550031|1558888|95340|16559|10802148|6232299|6738564|6807928|3026667,2431884,Domaine Rougeot,Domaine Rougeot,Mesmo wine id Vivino 2431884 nas duas buscas
2106,2059721,93101,CONFIRMA,1227647|1700196|1214533|1884307|1295401|9374277|1809619|1723068|6139578|87762,1227647|779223|1957486|2442924|10531545|13517677|1938995|13517487|13369195|7353090,1227647,Domaine Roulot,Pierre Vincent,Mesmo wine id Vivino 1227647 nas duas buscas
2107,2059881,1213411,CONFIRMA,5583223|8315677|5445626|2724442|6270417|13588446|1711757|10198662|12121989|9032202,8315677|5583223|5445626|4895805|6270417|2724442|12121989|13588446|1711757|10198662,5583223|8315677|5445626|2724442|6270417|13588446|1711757|10198662|12121989,Matthieu Roux,Sebastien Roux,Mesmo wine id Vivino 5583223 nas duas buscas
2108,2059904,1406688,CONFIRMA,10118345|1243060|8136126|10831543,10118345|1213004|13623697|1802633|2707824|1739390|1289984|2623231|7339964|1491678,10118345,Roux Père & Fils,Roux Père & Fils,Mesmo wine id Vivino 10118345 nas duas buscas
2109,2059956,565009,CONFIRMA,3125433|2342297|5441683|5441681|2926759|5074447|5987491,3125433|5441681|2926759|5441683|2342297|5987491|5074447,3125433|2342297|5441683|5441681|2926759|5074447|5987491,El Enemigo,El Enemigo,Mesmo wine id Vivino 3125433 nas duas buscas
2110,2060020,565009,CONFIRMA,3125433|5441683|5441681|2926759|2342297|5987491|5074447,3125433|5441681|2926759|5441683|2342297|5987491|5074447,3125433|5441683|5441681|2926759|2342297|5987491|5074447,El Enemigo,El Enemigo,Mesmo wine id Vivino 3125433 nas duas buscas
2111,2060151,1580451,CONFIRMA,12063418|1811250|8400392|1807855|5326483,12063418|1811250,12063418|1811250,Domaine Grand Saint-Cyr,Saint Cyr,Mesmo wine id Vivino 12063418 nas duas buscas
2112,2060255,1123720,CONFIRMA,7583922|6438006,7583922|6438006,7583922|6438006,Lagar de Moha,Lagar de Moha,Mesmo wine id Vivino 7583922 nas duas buscas
2113,2060381,348473,CONFIRMA,2114477|1360895|1670124|7190635|1944053|1166160|1297146|1365870|1408385|1490460,2114477|1297146|1807985|2110376,2114477|1297146,El Maestro Sierra,El Maestro Sierra,Mesmo wine id Vivino 2114477 nas duas buscas
